timestamp,temperatura,pressao,producao
01:59:23,93.55,7.67,247
15:11:07,28.13,6.11,40
23:52:01,45.44,5.16,117
21:58:21,52.54,6.47,129
23:04:08,35.47,7.94,248
03:00:52,42.64,4.39,191
03:04:57,84.15,4.34,124
00:51:33,92.89,1.28,39
23:19:42,84.14,6.22,176
15:54:06,58.0,7.06,182
22:21:32,84.31,7.52,82
03:39:52,112.51,2.22,152
11:17:55,116.92,3.88,54
10:00:01,51.53,3.02,40
19:51:33,96.9,2.51,193
19:44:35,83.8,7.66,77
20:47:02,51.75,6.52,91
15:15:56,44.21,2.52,53
20:33:39,86.66,1.16,187
23:24:29,46.02,2.55,50
